Company,Sector,PE,3Y High,3Y Low,% Assets
ITC,FMCG,24.06,9.28,5.37,8.02
Titan Company,Cons Durable,83.8,8.93,4.77,6.85
Bharti Airtel,Communication,0,7.05,4.32,6.64
NTPC,Energy,10.18,7.41,3.67,6.21
Hindustan Unilever,FMCG,70.25,5.52,0,5.52
State Bank of India,Financial,30.54,7.16,0,5.4
Britannia Inds.,FMCG,68.74,4.9,1.42,4.88
TVS Motor Co.,Automobile,31,5.09,3.33,4.73
Motherson Sumi Systems,Automobile,22.61,5.57,3.55,4.36
Marico,FMCG,43.43,3.65,2.4,3.53
Dabur India,FMCG,56.47,4.12,0,3.43
Cipla,Healthcare,23.59,4.76,0.71,2.78
Maruti Suzuki India,Automobile,32.29,8.81,1.79,2.59
Voltas,Cons Durable,47.85,2.52,0,2.52
Axis Bank,Financial,45.35,1.82,0,1.82
Blue Star,Cons Durable,47.1,1.69,0,1.69
Eicher Motors,Automobile,26.89,1.95,0,1.4
ICICI Bank,Financial,54.6,1.38,0,1.38
Dishman Carbogen Amcis,Healthcare,10.97,2.39,0,1.35
Nestle India,FMCG,85.64,1.18,0,1.18
EIH,Services,103.55,2.85,1.05,1.14
Cadila Healthcare,Healthcare,15,1.04,0,0.99
Berger Paints India,Chemicals,87.74,0.93,0,0.93
Entertainment Network,Services,25.22,1.82,0.9,0.9
264. ICICI Prudential Bharat Consumption Fund - Series 2,,,,,
Interglobe Aviation,Services,47.79,10.49,0,10.49
Titan Company,Cons Durable,83.8,10.17,7.34,9.61
Bharti Airtel,Communication,0,8.85,5.47,8.85
ITC,FMCG,24.06,9.16,5.84,8.26
United Spirits,FMCG,58.21,8.14,5.16,8.14
Sun Pharmaceutical Inds.,Healthcare,31.92,9.08,5.66,5.66
NTPC,Energy,10.18,5.54,0,4.69
Amara Raja Batteries,Engineering,22.08,4.52,0,4.52
Tata Power,Energy,24.62,5.13,3.75,4.03
Exide Industries,Engineering,17.73,6.3,3.77,4.02
Tata Motors,Automobile,0,6.19,3.28,3.28
Tata Global Beverages,FMCG,41.99,3.14,2.16,3.03
Maruti Suzuki India,Automobile,32.29,3.51,2.42,2.95
Mahindra & Mahindra,Automobile,12.49,2.41,0,2.02
Spicejet,Services,0,3.59,1.69,1.85
Sun TV Network,Services,14.87,1.41,0,1.4
Thomas Cook (India),Services,116.65,3.61,1.03,1.03
Vodafone Idea,Communication,0,1.8,0,0.75
Apollo Tyres,Automobile,18.42,0.37,0,0.34
265. ICICI Prudential Bharat Consumption Fund - Series 3,,,,,
Asian Paints,Chemicals,65.48,8.84,0,8.84
ITC,FMCG,24.06,9.44,6.49,8.16
Marico,FMCG,43.43,7.42,4.03,7.17
Hindustan Unilever,FMCG,70.25,8.5,5.54,6.3
NTPC,Energy,10.18,7.18,3.26,6.02
Britannia Inds.,FMCG,68.74,9.74,0,5.86
State Bank of India,Financial,30.54,7.15,0,5.4
Bharti Airtel,Communication,0,5.34,3.32,5.34
Titan Company,Cons Durable,83.8,4.6,0,4.6
TVS Motor Co.,Automobile,31,4.88,3.96,4.54
Motherson Sumi Systems,Automobile,22.61,4.52,3.44,4.34
Dabur India,FMCG,56.47,6.07,0,3.74
Cipla,Healthcare,23.59,2.73,0,2.73
Maruti Suzuki India,Automobile,32.29,3.07,0,2.43
Axis Bank,Financial,45.35,2.18,0,2.18
Bajaj Consumer Care,FMCG,15.46,2.92,2.07,2.14
Blue Star,Cons Durable,47.1,1.7,1.23,1.7
Sandhar Technologies,Automobile,15.85,1.97,1.5,1.5
ICICI Bank,Financial,54.6,1.38,0,1.38
Dishman Carbogen Amcis,Healthcare,10.97,2.34,0,1.32
Nestle India,FMCG,85.64,1.19,0,1.19
United Spirits,FMCG,58.21,1.13,0.88,1.12
EIH,Services,103.55,2.21,0.99,1.08
Berger Paints India,Chemicals,87.74,1.04,0,1.04
Eicher Motors,Automobile,26.89,2.53,0,0.99
266. ICICI Prudential Bharat Consumption Fund - Series 4,,,,,
Asian Paints,Chemicals,65.48,10.29,7.62,10.29
Hindustan Unilever,FMCG,70.25,10.14,7.17,9.83
Maruti Suzuki India,Automobile,32.29,8.92,4.68,8.33
ITC,FMCG,24.06,8.95,6.22,6.22
TVS Motor Co.,Automobile,31,8.24,3.53,5.78
Titan Company,Cons Durable,83.8,6.29,0.78,5.7
Britannia Inds.,FMCG,68.74,8.82,4.85,4.94
Indian Hotels,Services,64.59,4.79,2.65,4.61
PVR,Services,52.87,4.54,3.14,4.49
Motherson Sumi Systems,Automobile,22.61,8.33,4.34,4.47
Voltas,Cons Durable,47.85,4.55,1.96,4.46
Trent,Services,126.99,4.19,1.61,3.93
United Breweries,FMCG,69.65,3.55,0,3.21
Interglobe Aviation,Services,47.79,3.11,0.73,3.11
Avenue Supermarts,Services,105.09,2.55,0,2.55
Relaxo Footwears,FMCG,73.25,2.36,1.76,2.36
Bharti Airtel,Communication,0,2.16,0,2.1
Eicher Motors,Automobile,26.89,3.62,0,1.74
Havells India,Engineering,55.86,1.6,0,1.39
Mahindra & Mahindra,Automobile,12.49,8.65,0.31,0.31
Nestle India,FMCG,85.64,2.25,0,0.02
267. ICICI Prudential Bharat Consumption Fund - Series 5,,,,,
ITC,FMCG,24.06,10.02,0,10.02
Bharti Airtel,Communication,0,6.59,0,6.59
Hindustan Unilever,FMCG,70.25,7.01,0,5.64
Bajaj Consumer Care,FMCG,15.46,4.94,0,4.57
Colgate-Palmolive,FMCG,56.2,4.37,0,4.37
Blue Star,Cons Durable,47.1,4.29,0,4.29
Motherson Sumi Systems,Automobile,22.61,7.02,0,4.26
Maruti Suzuki India,Automobile,32.29,4.88,0,4.25
Bajaj Finserv,Financial,34.38,4.17,0,4.17
Jubilant FoodWorks,Services,63.69,3.93,0,3.93
Cipla,Healthcare,23.59,5.33,0,3.89
Endurance Technologies,Automobile,26.42,3.53,0,3.53
VST Industries,FMCG,24.9,3.43,0,3.43
Kansai Nerolac Paints,Chemicals,61.13,3.34,0,3.34
Orient Electric,Engineering,52.68,3.3,0,3.24
Aster DM Healthcare,Healthcare,19.49,4.17,0,2.96
Trent,Services,126.99,5.04,0,2.94
Indian Oil Corp.,Energy,9.68,6.95,2.43,2.79
NTPC,Energy,10.18,5.67,2.3,2.3
Voltas,Cons Durable,47.85,4.26,0,2.16
Phoenix Mills,Construction,22.61,1.87,0,1.87
SJVN,Energy,6.56,4.01,0,1.73
Titan Company,Cons Durable,83.8,8.75,0,1.69
Mahindra & Mahindra,Automobile,12.49,4.32,0,1.23
268. ICICI Prudential Bluechip Fund,,,,,
HDFC Bank,Financial,29.04,9.55,2.35,9.36
Infosys,Technology,17.88,6.94,3.02,6.94
ICICI Bank,Financial,54.6,7.8,5.35,6.41
Axis Bank,Financial,45.35,4.69,1.98,4.64
Bharti Airtel,Communication,0,4.43,1.83,4.05
Reliance Industries,Energy,21.03,3.64,0.27,3.64
SBI Life Insurance Company,Financial,80.59,3.84,0,3.61
ITC,FMCG,24.06,4.56,2.18,3.51
Larsen & Toubro,Construction,21.91,3.77,2.05,3.42
HDFC,Financial,34.78,4.89,0,3.29
NTPC,Energy,10.18,4.6,1.72,3.19
Hindalco Inds.,Metals,51.04,3.01,0,2.45
Indian Oil Corp.,Energy,9.68,2.69,0,2.25
Motherson Sumi Systems,Automobile,22.61,3.96,1.88,1.99
TVS Motor Co.,Automobile,31,2.74,0,1.89
Maruti Suzuki India,Automobile,32.29,4.17,1.6,1.87
Interglobe Aviation,Services,47.79,2.19,0,1.71
Kotak Mahindra Bank,Financial,37.49,3.23,0.3,1.67
Tech Mahindra,Technology,16.09,2.5,1.55,1.6
Asian Paints,Chemicals,65.48,1.56,0,1.56
ONGC,Energy,6.74,3.58,0,1.55
Bajaj Finserv,Financial,34.38,4.74,1.32,1.55
Vedanta,Metals,7.89,2.65,0,1.45
Ultratech Cement,Construction,38.2,1.2,0,1.2
HCL Technologies,Technology,14.98,3.12,0.96,1.2
269. ICICI Prudential Bluechip Fund - Institutional I Plan,,,,,
HDFC Bank,Financial,29.04,9.55,2.35,9.36
Infosys,Technology,17.88,6.94,3.02,6.94
ICICI Bank,Financial,54.6,7.8,5.35,6.41
Axis Bank,Financial,45.35,4.69,1.98,4.64
Bharti Airtel,Communication,0,4.43,1.83,4.05
Reliance Industries,Energy,21.03,3.64,0.27,3.64
SBI Life Insurance Company,Financial,80.59,3.84,0,3.61
ITC,FMCG,24.06,4.56,2.18,3.51
Larsen & Toubro,Construction,21.91,3.77,2.05,3.42
HDFC,Financial,34.78,4.89,0,3.29
NTPC,Energy,10.18,4.6,1.72,3.19
Hindalco Inds.,Metals,51.04,3.01,0,2.45
Indian Oil Corp.,Energy,9.68,2.69,0,2.25
Motherson Sumi Systems,Automobile,22.61,3.96,1.88,1.99
TVS Motor Co.,Automobile,31,2.74,0,1.89
Maruti Suzuki India,Automobile,32.29,4.17,1.6,1.87
Interglobe Aviation,Services,47.79,2.19,0,1.71
Kotak Mahindra Bank,Financial,37.49,3.23,0.3,1.67
Tech Mahindra,Technology,16.09,2.5,1.55,1.6
Asian Paints,Chemicals,65.48,1.56,0,1.56
ONGC,Energy,6.74,3.58,0,1.55
Bajaj Finserv,Financial,34.38,4.74,1.32,1.55
Vedanta,Metals,7.89,2.65,0,1.45
Ultratech Cement,Construction,38.2,1.2,0,1.2
HCL Technologies,Technology,14.98,3.12,0.96,1.2
270. ICICI Prudential Capital Protection Oriented Fund - Series IX - 1325 Days - Plan E,,,,,
ICICI Bank,Financial,54.6,2.68,1.95,2.45
HDFC Bank,Financial,29.04,3.48,2.1,2.29
Larsen & Toubro,Construction,21.91,2.74,1.86,2.04
Hindustan Unilever,FMCG,70.25,2.33,0.96,1.36
ITC,FMCG,24.06,1.27,0,1.07
State Bank of India,Financial,30.54,1.41,0,1.05
Coal India,Energy,7.02,0.75,0,0.75
Axis Bank,Financial,45.35,1.1,0,0.75
Ambuja Cements,Construction,15.77,2.65,0.65,0.65
Motherson Sumi Systems,Automobile,22.61,1.63,0,0.61
Asian Paints,Chemicals,65.48,0.57,0,0.57
NTPC,Energy,10.18,0.42,0,0.41
Tata Consultancy Services,Technology,24.03,0.42,0,0.38
HCL Technologies,Technology,14.98,2.6,0.37,0.38
Nestle India,FMCG,85.64,0.28,0,0.09
271. ICICI Prudential Capital Protection Oriented Fund - Series IX - 1378 Days - Plan D,,,,,
ICICI Bank,Financial,54.6,2.84,1.96,2.33
Larsen & Toubro,Construction,21.91,2.36,1.62,2.02
HDFC Bank,Financial,29.04,1.87,1.3,1.42
Shree Cement,Construction,53.3,2.25,1.01,1.28
Motherson Sumi Systems,Automobile,22.61,2.47,0.89,0.95
State Bank of India,Financial,30.54,1.26,0,0.94
ITC,FMCG,24.06,1.1,0,0.93
Coal India,Energy,7.02,0.69,0,0.69
Axis Bank,Financial,45.35,0.93,0,0.69
Ambuja Cements,Construction,15.77,1.53,0.66,0.66
Asian Paints,Chemicals,65.48,0.54,0,0.54
NTPC,Energy,10.18,0.39,0,0.38
Tata Consultancy Services,Technology,24.03,0.39,0,0.36
HCL Technologies,Technology,14.98,1.81,0.34,0.35
Kotak Mahindra Bank,Financial,37.49,0.5,0,0.13
Nestle India,FMCG,85.64,0.21,0,0.07
272. ICICI Prudential Capital Protection Oriented Fund - Series VII - 1822 Days - Plan D,,,,,
HDFC Bank,Financial,29.04,3.63,2.63,2.87
ICICI Bank,Financial,54.6,2.74,1.98,2.68
Infosys,Technology,17.88,2.17,1.37,2.13
Mahindra & Mahindra,Automobile,12.49,2.73,1.39,1.48
Shree Cement,Construction,53.3,1.77,0.62,1.44
ITC,FMCG,24.06,1.57,0,1.33
State Bank of India,Financial,30.54,1.7,0,1.27
Coal India,Energy,7.02,1.06,0,1.06
Motherson Sumi Systems,Automobile,22.61,2.67,0.96,1.02
Axis Bank,Financial,45.35,1.33,0,1
Cipla,Healthcare,23.59,1.63,0.86,0.86
Asian Paints,Chemicals,65.48,0.76,0,0.76
Hindustan Unilever,FMCG,70.25,1.44,0.54,0.61
NTPC,Energy,10.18,0.6,0,0.57
Tata Consultancy Services,Technology,24.03,0.59,0,0.54
HCL Technologies,Technology,14.98,3.19,0.49,0.51
Larsen & Toubro,Construction,21.91,0.69,0,0.26
Kotak Mahindra Bank,Financial,37.49,0.68,0,0.17
Nestle India,FMCG,85.64,0.24,0,0.08
273. ICICI Prudential Capital Protection Oriented Fund - Series X - 1235 Days - Plan A,,,,,
Kotak Mahindra Bank,Financial,37.49,3.12,0,3.12
HDFC Bank,Financial,29.04,2.78,2.09,2.28
ICICI Bank,Financial,54.6,1.18,0,1.16
Shree Cement,Construction,53.3,1.18,0,0.97
ITC,FMCG,24.06,0.94,0,0.79
Sun Pharmaceutical Inds.,Healthcare,31.92,2.32,0.73,0.73
State Bank of India,Financial,30.54,1.02,0,0.67
Coal India,Energy,7.02,0.66,0,0.66
Motherson Sumi Systems,Automobile,22.61,1.67,0,0.63
Axis Bank,Financial,45.35,0.78,0,0.57
Asian Paints,Chemicals,65.48,0.43,0,0.43
NTPC,Energy,10.18,0.37,0,0.36
Tata Consultancy Services,Technology,24.03,0.37,0,0.34
HCL Technologies,Technology,14.98,3.25,0.27,0.28
Larsen & Toubro,Construction,21.91,0.38,0,0.14
274. ICICI Prudential Capital Protection Oriented Fund - Series X - 1375 Days - Plan B,,,,,
ICICI Bank,Financial,54.6,2.74,1.94,2.58
HDFC Bank,Financial,29.04,2.26,1.7,2.08
NTPC,Energy,10.18,1.18,0,1.13
Infosys,Technology,17.88,1.09,0,1.07
ITC,FMCG,24.06,1.25,0,1.05
Sun Pharmaceutical Inds.,Healthcare,31.92,2.12,0.77,0.98
State Bank of India,Financial,30.54,1.17,0,0.87
Coal India,Energy,7.02,1.06,0,0.82
Asian Paints,Chemicals,65.48,0.73,0,0.73
Axis Bank,Financial,45.35,0.71,0,0.59
Ambuja Cements,Construction,15.77,0.51,0,0.43
Tata Consultancy Services,Technology,24.03,0.38,0,0.35
HCL Technologies,Technology,14.98,2.39,0.31,0.32
Kotak Mahindra Bank,Financial,37.49,0.43,0,0.08
Maruti Suzuki India,Automobile,32.29,2.64,0.05,0.07
Nestle India,FMCG,85.64,0.17,0,0.06
275. ICICI Prudential Capital Protection Oriented Fund Series XII Plan A 1168 Days,,,,,
Infosys,Technology,17.88,2.77,1.79,2.72
Kotak Mahindra Bank,Financial,37.49,2.39,1.88,2.27
ICICI Bank,Financial,54.6,1.2,0,1.17
NTPC,Energy,10.18,0.99,0,0.94
HDFC Bank,Financial,29.04,1.15,0,0.94
Sun Pharmaceutical Inds.,Healthcare,31.92,2.44,0.88,0.88
State Bank of India,Financial,30.54,0.89,0,0.66
ITC,FMCG,24.06,0.77,0,0.64
Coal India,Energy,7.02,0.64,0,0.64
Axis Bank,Financial,45.35,2.83,0.56,0.57
Asian Paints,Chemicals,65.48,0.43,0,0.43
Tata Consultancy Services,Technology,24.03,0.35,0,0.32
Larsen & Toubro,Construction,21.91,0.35,0,0.1
Nestle India,FMCG,85.64,0.14,0,0.04
276. ICICI Prudential Capital Protection Oriented Fund Series XII Plan C 1270 Days,,,,,
Larsen & Toubro,Construction,21.91,2.01,1.47,1.73
Bharti Airtel,Communication,0,1.72,0,1.72
NTPC,Energy,10.18,1.67,0,1.37
Sun Pharmaceutical Inds.,Healthcare,31.92,2.14,0.75,0.83
State Bank of India,Financial,30.54,1.06,0.78,0.79
ONGC,Energy,6.74,1.11,0,0.75
ITC,FMCG,24.06,0.94,0.69,0.72
Motherson Sumi Systems,Automobile,22.61,1.82,0.65,0.69
Asian Paints,Chemicals,65.48,0.4,0,0.4
277. ICICI Prudential Capital Protection Oriented Fund Series XIV Plan A 1275 Days,,,,,
HDFC Bank,Financial,29.04,3.38,2.9,3.38
Reliance Industries,Energy,21.03,2.44,2.01,2.24
Infosys,Technology,17.88,2.26,1.94,2.2
Axis Bank,Financial,45.35,2.57,2.06,2.11
Motherson Sumi Systems,Automobile,22.61,2.18,1.32,1.39
Bajaj Finserv,Financial,34.38,1.42,1.06,1.38
Avenue Supermarts,Services,105.09,1.35,0.82,1.35
Eicher Motors,Automobile,26.89,1.13,0.63,1.13
Hindustan Unilever,FMCG,70.25,0.91,0,0.91
Nestle India,FMCG,85.64,1.09,0.51,0.59
278. ICICI Prudential Capital Protection Oriented Fund XI 1222 Days Plan B,,,,,
Shree Cement,Construction,53.3,2.28,1.47,1.86
ICICI Bank,Financial,54.6,1.01,0,0.99
Hindustan Unilever,FMCG,70.25,1.43,0,0.88
Motherson Sumi Systems,Automobile,22.61,2.28,0.82,0.87
NTPC,Energy,10.18,0.81,0,0.77
Coal India,Energy,7.02,1,0,0.7
HDFC Bank,Financial,29.04,0.87,0,0.7
ITC,FMCG,24.06,0.67,0,0.56
Axis Bank,Financial,45.35,2.06,0.47,0.48
Asian Paints,Chemicals,65.48,0.36,0,0.36
State Bank of India,Financial,30.54,0.43,0,0.3
Tata Consultancy Services,Technology,24.03,0.26,0,0.24
Nestle India,FMCG,85.64,0.17,0,0.05
Larsen & Toubro,Construction,21.91,0.25,0,0.04
Kotak Mahindra Bank,Financial,37.49,0.29,0,0.03
279. ICICI Prudential Capital Protection Oriented Fund XI 1222 Days Plan E,,,,,
Infosys,Technology,17.88,2.25,1.44,2.2
Kotak Mahindra Bank,Financial,37.49,2.23,1.67,2.17
HDFC Bank,Financial,29.04,1.71,1.21,1.32
ICICI Bank,Financial,54.6,1.04,0,1.01
Larsen & Toubro,Construction,21.91,1.07,0,0.82
State Bank of India,Financial,30.54,0.94,0,0.69
ITC,FMCG,24.06,0.81,0,0.68
Sun Pharmaceutical Inds.,Healthcare,31.92,1.8,0,0.62
Axis Bank,Financial,45.35,0.66,0,0.49
Coal India,Energy,7.02,0.39,0,0.39
Asian Paints,Chemicals,65.48,0.38,0,0.38
Nestle India,FMCG,85.64,0.11,0,0.04
280. ICICI Prudential Capital Protection Oriented Fund XI 1247 Days Plan D,,,,,
Infosys,Technology,17.88,2.64,1.66,2.59
Motherson Sumi Systems,Automobile,22.61,2.99,1.07,1.14
HDFC Bank,Financial,29.04,1.1,0,1.09
ICICI Bank,Financial,54.6,0.86,0,0.84
NTPC,Energy,10.18,0.64,0,0.52
Asian Paints,Chemicals,65.48,0.52,0,0.52
Axis Bank,Financial,45.35,2.15,0.4,0.41
State Bank of India,Financial,30.54,0.51,0,0.34
Larsen & Toubro,Construction,21.91,0.32,0,0.3
Coal India,Energy,7.02,0.2,0,0.16
ITC,FMCG,24.06,0.19,0,0.16
Kotak Mahindra Bank,Financial,37.49,0.35,0,0.15
Nestle India,FMCG,85.64,0.1,0,0.08
281. ICICI Prudential Capital Protection Oriented Fund XI 1255 Days Plan C,,,,,
HDFC Bank,Financial,29.04,4.08,0,3.44
Infosys,Technology,17.88,2.65,0,2.59
ICICI Bank,Financial,54.6,1.14,0,1.11
NTPC,Energy,10.18,0.71,0,0.58
Motherson Sumi Systems,Automobile,22.61,1.5,0,0.56
Coal India,Energy,7.02,0.55,0,0.55
Axis Bank,Financial,45.35,2.22,0,0.54
Asian Paints,Chemicals,65.48,0.4,0,0.4
State Bank of India,Financial,30.54,0.56,0,0.36
Larsen & Toubro,Construction,21.91,0.37,0,0.35
ITC,FMCG,24.06,0.22,0,0.19
Kotak Mahindra Bank,Financial,37.49,0.39,0,0.11
Nestle India,FMCG,85.64,0.12,0,0.04
282. ICICI Prudential Capital Protection Oriented Fund XI 2056 Days Plan A,,,,,
Infosys,Technology,17.88,3.24,2.12,3.17
ITC,FMCG,24.06,3.22,2.48,2.6
HDFC Bank,Financial,29.04,3.09,2.1,2.29
Larsen & Toubro,Construction,21.91,2.57,1.63,2.02
ICICI Bank,Financial,54.6,2.22,1.6,2
State Bank of India,Financial,30.54,1.76,0,1.3
Hindustan Unilever,FMCG,70.25,2.15,0,1.21
Coal India,Energy,7.02,1.02,0,1.02
Axis Bank,Financial,45.35,1.83,0,0.96
NTPC,Energy,10.18,0.97,0,0.93
Sun Pharmaceutical Inds.,Healthcare,31.92,2.43,0.93,0.93
Asian Paints,Chemicals,65.48,0.77,0,0.77
Tata Consultancy Services,Technology,24.03,0.56,0,0.51
Nestle India,FMCG,85.64,0.22,0,0.07
Maruti Suzuki India,Automobile,32.29,2.79,0.05,0.06
283. ICICI Prudential Child Care Fund - Gift Plan,,,,,
HDFC Bank,Financial,29.04,8.88,0,8.88
Infosys,Technology,17.88,10.4,0,8.21
HDFC,Financial,34.78,9.11,0,7.99
Axis Bank,Financial,45.35,9.46,0,7.71
NTPC,Energy,10.18,9.72,0,7.2
State Bank of India,Financial,30.54,8.41,0,5.95
Bharti Airtel,Communication,0,6.33,0,4.55
Tech Mahindra,Technology,16.09,4.17,0,4.17
TVS Motor Co.,Automobile,31,4.72,0,3.4
Sun Pharmaceutical Inds.,Healthcare,31.92,5.07,0,3.29
Nestle India,FMCG,85.64,5,0,2.57
Vodafone Idea,Communication,0,4.9,0,1.77
Natco Pharma,Healthcare,17.26,3.06,0,1.76
AIA Engineering,Metals,30.22,2.8,1.44,1.64
HDFC Life Insurance,Financial,92.87,1.47,0,1.47
HCL Technologies,Technology,14.98,5.84,0,1.03
Oracle Fin Ser Software,Technology,19.26,1.07,0,0.98
KEC International,Engineering,14.05,1.09,0,0.96
KNR Constructions,Construction,13.59,0.9,0,0.9
ICICI Bank,Financial,54.6,4.98,0,0.29
Hindustan Aeronautics,Services,9.6,0.19,0,0.19
284. ICICI Prudential Commodities Fund,,,,,
285. ICICI Prudential Dividend Yield Equity Fund,,,,,
Gujarat Pipavav Port,Services,17.87,9.99,0,9.13
NTPC,Energy,10.18,10.47,2.01,8.97
ITC,FMCG,24.06,11.07,0,8.8
Infosys,Technology,17.88,10.01,3.11,7.21
HPCL,Energy,9.19,5.32,0,5.32
Cummins India,Engineering,23.58,5.85,3.59,4.2
Tata Chemicals,Chemicals,13.09,4.36,2.87,3.93
Indian Oil Corp.,Energy,9.68,4.65,0,3.43
Tech Mahindra,Technology,16.09,3.23,0,3.23
Tata Consultancy Services,Technology,24.03,3.48,0,3.16
National Aluminium,Metals,7.12,3.06,0,3.06
BPCL,Energy,19.29,3.06,0,3.06
Central Depository Services,Financial,18.48,4.96,0,2.89
HCL Technologies,Technology,14.98,7.55,2.33,2.57
Gateway Distriparks,Services,2.58,3.44,1.83,2.19
Karur Vysya Bank,Financial,18.68,4.03,1.99,2
Petronet LNG,Energy,18.97,2.51,0,1.83
Wipro,Technology,14.63,2.44,0,1.82
JK Lakshmi Cement,Construction,32.19,2.43,1.42,1.73
Bajaj Consumer Care,FMCG,15.46,2.91,0,1.61
Union Bank of India,Financial,0,3.37,0.93,1.4
ONGC,Energy,6.74,2.84,0,1.35
South Indian Bank,Financial,6,5,1.33,1.33
J&K Bank,Financial,4.03,3.81,1.23,1.23
SJVN,Energy,6.56,3.11,0,1.01
286. ICICI Prudential Equity & Debt Fund,,,,,
ICICI Bank,Financial,54.6,7.78,2.77,7.78
Bharti Airtel,Communication,0,6.22,2.17,6.1
NTPC,Energy,10.18,6.17,0,5.94
ITC,FMCG,24.06,4.77,0,4.05
State Bank of India,Financial,30.54,4.79,0.56,3.89
ONGC,Energy,6.74,4.84,0,3.81
Vedanta,Metals,7.89,4.42,0,3.57
Indian Oil Corp.,Energy,9.68,3.33,0,3.33
Hindalco Inds.,Metals,51.04,3.27,0,3.09
Axis Bank,Financial,45.35,2.9,0,2.17
Cipla,Healthcare,23.59,3.44,1.44,2.14
Sun Pharmaceutical Inds.,Healthcare,31.92,2.59,0.46,2.13
SBI Life Insurance Company,Financial,80.59,1.76,0,1.76
Tata Chemicals,Chemicals,13.09,4.72,0.36,1.35
HCL Technologies,Technology,14.98,2.92,0.77,1.34
Tech Mahindra,Technology,16.09,2.57,0,1.2
ICICI Pru FMP - Series 82 1185 Days Plan I Direct-G,-,-,-,-,1.09
TVS Motor Co.,Automobile,31,0.96,0,0.96
Infosys,Technology,17.88,4.92,0.89,0.89
Larsen & Toubro,Construction,21.91,2.86,0,0.81
Tata Motors DVR,Automobile,-,1.92,0,0.78
Engineers India,Construction,16.86,0.83,0,0.63
Asian Paints,Chemicals,65.48,2.04,0,0.61
Maruti Suzuki India,Automobile,32.29,1.87,0,0.58
Tata Power,Energy,24.62,1.93,0.58,0.58
287. ICICI Prudential Equity Arbitrage Fund,,,,,
HDFC,Financial,34.78,9.3,0.32,7.83
Reliance Industries,Energy,21.03,6.89,0,6.66
HDFC Bank,Financial,29.04,6,0,6
Infosys,Technology,17.88,6,0,5.49
State Bank of India,Financial,30.54,3.91,0,2.95
ITC,FMCG,24.06,3.97,0.08,2.7
Sun Pharmaceutical Inds.,Healthcare,31.92,5.49,0.09,2.23
Tata Consultancy Services,Technology,24.03,3.32,0,2.06
Larsen & Toubro,Construction,21.91,2.48,0,1.7
Mahindra & Mahindra,Automobile,12.49,2.3,0.17,1.54
Axis Bank,Financial,45.35,2.73,0,1.45
Dr. Reddy's Lab,Healthcare,21.78,2.64,0,1.42
Bharti Airtel,Communication,0,2.61,0,1.41
Bajaj Finance,Financial,47.43,1.15,0,1.09
Tata Steel,Metals,4.78,3.04,0,1.05
ONGC,Energy,6.74,2.61,0,1.02
Tech Mahindra,Technology,16.09,2.05,0,1
HCL Technologies,Technology,14.98,1.08,0,0.95
Asian Paints,Chemicals,65.48,1.55,0,0.93
Hindustan Unilever,FMCG,70.25,2.22,0,0.9
Aurobindo Pharma,Healthcare,10.96,2.62,0.88,0.88
UPL,Chemicals,40.91,3.61,0.75,0.81
Ultratech Cement,Construction,38.2,0.79,0,0.79
NTPC,Energy,10.18,2.06,0,0.79
Ambuja Cements,Construction,15.77,1.8,0,0.77
288. ICICI Prudential Equity Arbitrage Fund - Institutional Plan,,,,,
HDFC,Financial,34.78,9.3,0.32,7.83
Reliance Industries,Energy,21.03,6.89,0,6.66
HDFC Bank,Financial,29.04,6,0,6
Infosys,Technology,17.88,6,0,5.49
State Bank of India,Financial,30.54,3.91,0,2.95
ITC,FMCG,24.06,3.97,0.08,2.7
Sun Pharmaceutical Inds.,Healthcare,31.92,5.49,0.09,2.23
Tata Consultancy Services,Technology,24.03,3.32,0,2.06
Larsen & Toubro,Construction,21.91,2.48,0,1.7
Mahindra & Mahindra,Automobile,12.49,2.3,0.17,1.54
Axis Bank,Financial,45.35,2.73,0,1.45
Dr. Reddy's Lab,Healthcare,21.78,2.64,0,1.42
Bharti Airtel,Communication,0,2.61,0,1.41
Bajaj Finance,Financial,47.43,1.15,0,1.09
Tata Steel,Metals,4.78,3.04,0,1.05
ONGC,Energy,6.74,2.61,0,1.02
Tech Mahindra,Technology,16.09,2.05,0,1
HCL Technologies,Technology,14.98,1.08,0,0.95
Asian Paints,Chemicals,65.48,1.55,0,0.93
Hindustan Unilever,FMCG,70.25,2.22,0,0.9
Aurobindo Pharma,Healthcare,10.96,2.62,0.88,0.88
UPL,Chemicals,40.91,3.61,0.75,0.81
Ultratech Cement,Construction,38.2,0.79,0,0.79
NTPC,Energy,10.18,2.06,0,0.79
Ambuja Cements,Construction,15.77,1.8,0,0.77
289. ICICI Prudential Equity Savings Fund,,,,,
Tata Consultancy Services,Technology,24.03,4.88,0,4.62
NTPC,Energy,10.18,5.44,0.31,4.09
ICICI Bank,Financial,54.6,5.07,1.39,3.71
Reliance Industries,Energy,21.03,3.13,0,3.13
Axis Bank,Financial,45.35,5.19,2.39,3.13
Tata Chemicals,Chemicals,13.09,3.03,1.37,2.97
HDFC Bank,Financial,29.04,2.94,0,2.94
Infosys,Technology,17.88,4.63,0.49,2.75
Sun Pharmaceutical Inds.,Healthcare,31.92,3.92,1.34,2.5
ITC,FMCG,24.06,2.79,0.42,2.41
ICICI Pru FMP - Series 82 1185 Days Plan M Direct-G,-,-,-,-,2.28
