Company,Sector,PE,3Y High,3Y Low,% Assets
MM Forgings,Metals,12.85,3.36,1.18,2.26
Praj Industries,Engineering,28.30,3.89,1.16,2.23
PVR,Services,52.87,2.66,1.64,2.21
Ashoka Buildcon,Construction,10.52,3.55,1.26,2.16
DCB Bank,Financial,15.79,2.41,0.00,2.14
Kennametal India,Engineering,26.75,2.11,0.61,2.11
Century Plyboards (India),FMCG,22.85,3.23,1.67,2.00
India Cements,Construction,21.18,4.25,1.95,1.97
Ador Welding,Engineering,18.35,2.58,0.05,1.95
Timken India,Engineering,35.15,1.94,0.00,1.94
Healthcare Global Enterprises,Healthcare,0.00,6.04,1.85,1.87
NRB Bearings,Engineering,13.34,2.38,0.00,1.82
Thyrocare Technologies,Healthcare,30.47,2.13,0.00,1.78
Heritage Foods,FMCG,18.03,2.27,1.34,1.62
Ingersoll Rand India,Engineering,24.02,1.61,0.00,1.61
737. Sundaram Select Micro Cap Series XI - Regular Plan
Navin Fluorine International,Chemicals,25.37,4.80,0.00,4.55
Grindwell Norton,Metals,40.49,4.40,0.00,4.40
Heidelberg Cement India,Construction,17.08,4.13,0.00,4.13
Kalpataru Power Trans,Construction,16.99,4.00,0.10,3.91
Kei Industries,Engineering,21.95,3.20,0.00,3.20
JK Cement,Construction,19.87,3.30,0.00,3.18
INOX Leisure,Services,29.50,3.16,0.00,3.16
Ashoka Buildcon,Construction,10.52,3.57,1.67,2.53
MM Forgings,Metals,12.85,3.27,0.10,2.37
Thyrocare Technologies,Healthcare,30.47,2.34,0.00,2.34
Astra Microwave Products,Communication,0.00,3.39,0.00,2.32
Praj Industries,Engineering,28.30,4.84,0.09,2.22
Tube Investments Of India,Automobile,26.69,2.19,0.00,2.19
Subros,Automobile,17.07,2.34,0.00,2.09
Timken India,Engineering,35.15,1.98,0.00,1.98
Mahindra Holidays & Resorts,Services,42.44,2.57,0.00,1.97
Johnson Controls - Hitachi Air Conditioning India,Cons Durable,56.84,1.96,0.00,1.87
Navneet Education,FMCG,11.37,1.87,0.00,1.87
